[2025-09-23 15:13:58,348 ] tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2025-09-23 15:13:59,204 ] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-09-23 15:13:59,205 ] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-09-23 15:13:59,205 ] h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-09-23 15:13:59,205 ] h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-09-23 15:14:03,936 ] asyncio - DEBUG - Using proactor: IocpProactor
[2025-09-23 15:14:03,980 ] uvicorn.error - INFO - Started server process [14172]
[2025-09-23 15:14:03,988 ] uvicorn.error - INFO - Waiting for application startup.
[2025-09-23 15:14:03,996 ] uvicorn.error - INFO - Application startup complete.
[2025-09-23 15:14:03,998 ] uvicorn.error - ERROR - [Errno 13] error while attempting to bind on address ('0.0.0.0', 8080): an attempt was made to access a socket in a way forbidden by its access permissions
[2025-09-23 15:14:03,999 ] uvicorn.error - INFO - Waiting for application shutdown.
[2025-09-23 15:14:04,005 ] uvicorn.error - INFO - Application shutdown complete.
